Apple Pan The,10801W.PicoBlvd.WestLA,310-475-3585,American
Arnie Morton's of Chicago,435S.LaCienegaBlvd.LosAngeles,310-246-1501,Steakhouses
Art's Deli,12224VenturaBlvd.StudioCity,818-762-1221,Delis
Asahi Ramen,2027SawtelleBlvd.WestLA,310-479-2231,NoodleShops
Baja Fresh,3345KimberDr.WestlakeVillage,805-498-4049,Mexican
Bel-Air Hotel,701StoneCanyonRd.BelAir,310-472-1211,Californian
Belvedere The,9882LittleSantaMonicaBlvd.BeverlyHills,310-788-2306,PacificNewWave
Benita's Frites,1433ThirdSt.PromenadeSantaMonica,310-458-2889,FastFood
Bernard's,515S.OliveSt.LosAngeles,213-612-1580,Continental
Bistro 45,45S.MentorAve.Pasadena,818-795-2478,Californian
Brent's Deli,19565PartheniaAve.Northridge,818-886-5679,Delis
Brighton Coffee Shop,9600BrightonWayBeverlyHills,310-276-7732,CoffeeShops
Bristol Farms Market Cafe,1570RosecransAve.S.Pasadena,310-643-5229,Californian
Bruno's,3838CentinelaAve.MarVista,310-397-5703,Italian
Cafe '50s,838LincolnBlvd.Venice,310-399-1955,American
Cafe Bizou,14016VenturaBlvd.ShermanOaks,818-788-3536,FrenchBistro
Cafe Blanc,9777LittleSantaMonicaBlvd.BeverlyHills,310-888-0108,PacificNewWave
Campanile,624S.LaBreaAve.LosAngeles,213-938-1447,Californian
Cassell's,3266W.SixthSt.LA,213-480-8668,Hamburgers
Chez Melange,1716PCHRedondoBeach,310-540-1222,Eclectic
Chinois on Main,2709MainSt.SantaMonica,310-392-9025,PacificNewWave
Citrus,6703MelroseAve.LosAngeles,213-857-0034,Californian
Diaghilev,1020N.SanVicenteBlvd.W.Hollywood,310-854-1111,Russian
Don Antonio's,1136WestwoodBlvd.Westwood,310-209-1422,Italian
Duke's,8909SunsetBlvd.W.Hollywood,310-652-3100,CoffeeShops
Falafel King,1059BroxtonAve.Westwood,310-208-4444,MiddleEastern
Feast from the East,1949WestwoodBlvd.WestLA,310-475-0400,Chinese
Fenix at the Argyle,8358SunsetBlvd.W.Hollywood,213-848-6677,French(New)
Granita,23725W.MalibuRd.Malibu,310-456-0488,Californian
Grill The,9560DaytonWayBeverlyHills,310-276-0615,American(Traditional)
Gumbo Pot The,6333W.ThirdSt.LA,213-933-0358,Cajun/Creole
Hollywood Hills Coffee Shop,6145FranklinAve.Hollywood,213-467-7678,CoffeeShops
Indo Cafe,104281/2NationalBlvd.LA,310-815-1290,Indonesian
Jan's Family Restaurant,8424BeverlyBlvd.LA,213-651-2866,CoffeeShops
JiRaffe,502SantaMonicaBlvd.SantaMonica,310-917-6671,Californian
Jody Maroni's Sausage Kingdom,2011OceanFrontWalkVenice,310-306-1995,HotDogs
Joe's,1023AbbotKinneyBlvd.Venice,310-399-5811,American(New)
John O'Groats,10516W.PicoBlvd.WestLA,310-204-0692,CoffeeShops
Johnnie's Pastrami,4017S.SepulvedaBlvd.CulverCity,310-397-6654,Delis
Johnny Reb's Southern Smokehouse,4663LongBeachBlvd.LongBeach,310-423-7327,Southern/Soul
Johnny Rockets (LA),7507MelroseAve.LA,213-651-3361,American
Katsu,1972HillhurstAve.LosFeliz,213-665-1891,Japanese
Killer Shrimp,4000ColfaxAve.StudioCity,818-508-1570,Seafood
Kokomo Cafe,6333W.ThirdSt.LA,213-933-0773,American
Koo Koo Roo,8393W.BeverlyBlvd.LA,213-655-9045,Chicken
L'Orangerie,903N.LaCienegaBlvd.W.Hollywood,310-652-9770,French(Classic)
La Cachette,10506LittleSantaMonicaBlvd.CenturyCity,310-470-4992,French(New)
La Salsa (LA),22800PCHMalibu,310-456-6299,Mexican
La Serenata de Garibaldi,1842E.FirstSt.BoyleHts.,213-265-2887,Mexican/Tex-Mex
Langer's,704S.AlvaradoSt.LA,213-483-8050,Delis
Le Chardonnay (Los Angeles),8284MelroseAve.LosAngeles,213-655-8880,FrenchBistro
LoCal NoChol,30869ThousandOaksBlvd.WestlakeVillage,818-706-7706,HealthFood
Locanda Veneta,8638W.ThirdSt.LosAngeles,310-274-1893,Italian
Main Course The,10509W.PicoBlvd.RanchoPark,310-475-7564,American
Mani's Bakery & Espresso Bar,519S.FairfaxAve.LA,213-938-8800,Desserts
Martha's,22ndStreetGrill2522ndSt.HermosaBeach,310-376-7786,American
Matsuhisa,129N.LaCienegaBlvd.BeverlyHills,310-659-9639,Seafood
Maxwell's Cafe,13329WashingtonBlvd.MarinadelRey,310-306-7829,American
Michael's (Los Angeles),1147ThirdSt.SantaMonica,310-451-0843,Californian
Mishima,8474W.ThirdSt.LA,213-782-0181,NoodleShops
Mo Better Meatty Meat,7261MelroseAve.LA,213-935-5280,Hamburgers
Mulberry St.,17040VenturaBlvd.Encino,818-906-8881,Pizza
Ocean Park Cafe,3117OceanParkBlvd.SantaMonica,310-452-5728,American
Ocean Star,145N.AtlanticBlvd.MontereyPark,818-308-2128,Seafood
Original Pantry Bakery,875S.FigueroaSt.DowntownLA,213-627-6879,Diners
Palm The (Los Angeles),9001SantaMonicaBlvd.W.Hollywood,310-550-8811,Steakhouses
Parkway Grill,510S.ArroyoPkwy.Pasadena,818-795-1001,Californian
Patina,5955MelroseAve.LosAngeles,213-467-1108,Californian
Philippe The Original,1001N.AlamedaSt.Chinatown,213-628-3781,Cafeterias
Pho Hoa,642BroadwayChinatown,213-626-5530,Vietnamese
Pink's Famous Chili Dogs,709N.LaBreaAve.LA,213-931-4223,HotDogs
Pinot Bistro,12969VenturaBlvd.StudioCity,818-990-0500,FrenchBistro
Poquito Mas,2635W.OliveAve.Burbank,818-563-2252,Mexican
R-23,923E.ThirdSt.LosAngeles,213-687-7178,Japanese
Rae's,2901PicoBlvd.SantaMonica,310-828-7937,Diners
Rex Il Ristorante,617S.OliveSt.LosAngeles,213-627-2300,NuovaCucinaItalian
Rubin's Red Hots,15322VenturaBlvd.Encino,818-905-6515,HotDogs
Ruby's (LA),45S.FairOaksAve.Pasadena,818-796-7829,Diners
Russell's Burgers,1198PCHSealBeach,310-596-9556,Hamburgers
Ruth's Chris Steak House (Los Angeles),224S.BeverlyDr.BeverlyHills,310-859-8744,Steakhouses
Shiro,1505MissionSt.S.Pasadena,818-799-4774,PacificNewWave
Spago (Los Angeles),8795SunsetBlvd.W.Hollywood,310-652-4025,Californian
Sushi Nozawa,11288VenturaBlvd.StudioCity,818-508-7017,Japanese
Sweet Lady Jane,8360MelroseAve.LA,213-653-7145,Desserts
Taiko,11677SanVicenteBlvd.Brentwood,310-207-7782,NoodleShops
Tommy's,2575BeverlyBlvd.LA,213-389-9060,Hamburgers
Uncle Bill's Pancake House,1305HighlandAve.ManhattanBeach,310-545-5177,Diners
Valentino,3115PicoBlvd.SantaMonica,310-829-4313,Italian
Water Grill,544S.GrandAve.LosAngeles,213-891-0900,Seafood
Yujean Kang's,67N.RaymondAve.Pasadena,818-585-0855,Chinese
Zankou Chicken,1415E.ColoradoSt.Glendale,818-244-1937,MiddleEastern
21 Club,21W.52ndSt.NewYorkCity,212-582-7200,American(New)
Afghan Kebab House,764NinthAve.NewYorkCity,212-307-1612,Afghan
Aquavit,13W.54thSt.NewYorkCity,212-307-7311,Scandinavian
Arcadia,21E.62ndSt.NewYorkCity,212-223-2900,American(New)
Aureole,34E.61stSt.NewYorkCity,212-319-1660,American(New)
Benny's Burritos,93Ave.ANewYorkCity,212-254-2054,Mexican
Cafe Con Leche,424AmsterdamAve.NewYorkCity,212-595-7000,Cuban
Cafe Lalo,201W.83rdSt.NewYorkCity,212-496-6031,Coffeehouses
Cafe des Artistes,1W.67thSt.NewYorkCity,212-877-3500,French(Classic)
Carmine's,2450BroadwayNewYorkCity,212-362-2200,Italian
Carnegie Deli,854SeventhAve.NewYorkCity,212-757-2245,Delis
Chanterelle,2HarrisonSt.NewYorkCity,212-966-6960,French(New)
Corner Bistro,331W.FourthSt.NewYorkCity,212-242-9502,Hamburgers
Cucina della Fontana,368BleeckerSt.NewYorkCity,212-242-0636,Italian
Cucina di Pesce,87E.FourthSt.NewYorkCity,212-260-6800,Seafood
Daniel,20E.76thSt.NewYorkCity,212-288-0033,French(New)
Darbar,44W.56thSt.NewYorkCity,212-432-7227,Indian
Dawat,210E.58thSt.NewYorkCity,212-355-7555,Indian
EJ's Luncheonette,432SixthAve.NewYorkCity,212-473-5555,Diners
Edison Cafe,228W.47thSt.NewYorkCity,212-840-5000,Diners
Elias Corner,24-0231stSt.Queens,718-932-1510,Greek
Felidia,243E.58thSt.NewYorkCity,212-758-1479,Italian
Four Seasons,99E.52ndSt.NewYorkCity,212-754-9494,American(New)
Good Enough to Eat,483AmsterdamAve.NewYorkCity,212-496-0163,American
Gotham Bar & Grill,12E.12thSt.NewYorkCity,212-620-4020,American(New)
Gramercy Tavern,42E.20thSt.NewYorkCity,212-477-0777,American(New)
Gray's Papaya,2090BroadwayNewYorkCity,212-799-0243,HotDogs
Il Mulino,86W.ThirdSt.NewYorkCity,212-673-3783,Italian
Island Spice,402W.44thSt.NewYorkCity,212-765-1737,Caribbean
Jackson Diner,37-0374thSt.Queens ,718-672-1232,Indian
Jo Jo,160E.64thSt.NewYorkCity,212-223-5656,FrenchBistro
Joe's Shanghai,9PellSt.Queens,718-539-3838,Chinese
John's Pizzeria,48W.65thSt.NewYorkCity,212-721-7001,Pizza
Kelley & Ping,127GreeneSt.NewYorkCity,212-228-1212,Pan-Asian
Kiev,117SecondAve.NewYorkCity,212-674-4040,Ukrainian
Kuruma Zushi,2ndfl.NewYorkCity,212-317-2802,Japanese
La Caravelle,33W.55thSt.NewYorkCity,212-586-4252,French(Classic)
La Caridad,2199BroadwayNewYorkCity,212-874-2780,Cuban
La Cote Basque,60W.55thSt.NewYorkCity,212-688-6525,French(Classic)
La Grenouille,3E.52ndSt.NewYorkCity,212-752-1495,French(Classic)
Le Bernardin,155W.51stSt.NewYorkCity,212-489-1515,Seafood
Lemongrass Grill,61ASeventhAve.Brooklyn,718-399-7100,Thai
Les Celebrites,155W.58thSt.NewYorkCity,212-484-5113,French(Classic)
Lespinasse (New York City),2E.55thSt.NewYorkCity,212-339-6719,Asian
Lombardi's,32SpringSt.NewYorkCity,212-941-7994,Pizza
Lutece,249E.50thSt.NewYorkCity,212-752-2225,French(Classic)
Manhattan Ocean Club,57W.58thSt.NewYorkCity,212-371-7777,Seafood
March,405E.58thSt.NewYorkCity,212-754-6272,American(New)
Marnie's Noodle Shop,466HudsonSt.NewYorkCity,212-741-3214,Asian
Menchanko-tei,39W.55thSt.NewYorkCity,212-247-1585,Japanese
Mesa Grill,102FifthAve.NewYorkCity,212-807-7400,Southwestern
Mi Cocina,57JaneSt.NewYorkCity,212-627-8273,Mexican
Mitali East-West,296BleeckerSt.NewYorkCity,212-989-1367,Indian
Monsoon (NY),435AmsterdamAve.NewYorkCity,212-580-8686,Thai
Montrachet,239W.BroadwayNewYorkCity,212-219-2777,FrenchBistro
Moustache,405AtlanticAve.Brooklyn,718-852-5555,MiddleEastern
Nobu,105HudsonSt.NewYorkCity,212-219-0500,Japanese
Oceana,55E.54thSt.NewYorkCity,212-759-5941,Seafood
One if by Land TIBS,17BarrowSt.NewYorkCity,212-228-0822,Continental
Oyster Bar,lowerlevelNewYorkCity,212-490-6650,Seafood
Palm,837SecondAve.NewYorkCity,212-687-2953,Steakhouses
Palm Too,840SecondAve.NewYorkCity,212-697-5198,Steakhouses
Park Avenue Cafe (New York City),100E.63rdSt.NewYorkCity,212-644-1900,American(New)
Patsy's Pizza,19OldFultonSt.Brooklyn,718-858-4300,Pizza
Peter Luger Steak House,178BroadwayBrooklyn,718-387-7400,Steakhouses
Petrossian,182W.58thSt.NewYorkCity,212-245-2214,Russian
Picholine,35W.64thSt.NewYorkCity,212-724-8585,Mediterranean
Pisces,95Ave.ANewYorkCity,212-260-6660,Seafood
Rainbow Room,30RockefellerPlazaNewYorkCity,212-632-5000,American(New)
River Cafe,1WaterSt.Brooklyn,718-522-5200,American(New)
Rose of India,308E.SixthSt.NewYorkCity,212-533-5011,Indian
Sam's Noodle Shop,411ThirdAve.NewYorkCity,212-213-2288,Chinese
San Domenico,240CentralParkS.NewYorkCity,212-265-5959,Italian
Sarabeth's,1295MadisonAve.NewYorkCity,212-410-7335,American
Second Avenue Deli,156SecondAve.NewYorkCity,212-677-0606,Delis
Seryna,11E.53rdSt.NewYorkCity,212-980-9393,Japanese
Shun Lee Palace,155E.55thSt.NewYorkCity,212-371-8844,Chinese
Sign of the Dove,1110ThirdAve.NewYorkCity,212-861-8080,American(New)
Smith & Wollensky,797ThirdAve.NewYorkCity,212-753-1530,Steakhouses
Sparks Steak House,210E.46thSt.NewYorkCity,212-687-4855,Steakhouses
Stick To Your Ribs,5-1651stAve.Queens ,718-937-3030,BBQ
Sushisay,38E.51stSt.NewYorkCity,212-755-1780,Japanese
Sylvia's,328LenoxAve.NewYorkCity,212-996-0660,Southern/Soul
Szechuan Hunan Cottage,1588YorkAve.NewYorkCity,212-535-5223,Chinese
Szechuan Kitchen,1460FirstAve.NewYorkCity,212-249-4615,Chinese
Tavern on the Green,CentralParkWestNewYorkCity,212-873-3200,American(New)
Teresa's,80MontagueSt.Queens,718-520-2910,Polish
Thai House Cafe,151HudsonSt.NewYorkCity,212-334-1085,Thai
Thailand Restaurant,106BayardSt.NewYorkCity,212-349-3132,Thai
Uncle Nick's,747NinthAve.NewYorkCity,212-245-7992,Greek
Union Square Cafe,21E.16thSt.NewYorkCity,212-243-4020,American(New)
Veselka,144SecondAve.NewYorkCity,212-228-9682,Ukrainian
Virgil's Real BBQ,152W.44thSt.NewYorkCity,212-921-9494,BBQ
Westside Cottage,689NinthAve.NewYorkCity,212-245-0800,Chinese
Windows on the World,107thfl.NewYorkCity,212-524-7000,Eclectic
Wollensky's Grill,205E.49thSt.NewYorkCity,212-753-0444,Steakhouses
Yama,122E.17thSt.NewYorkCity,212-475-0969,Japanese
Zarela,953SecondAve.NewYorkCity,212-644-6740,Mexican
Andre's French Restaurant,401S.6thSt.LasVegas,702-385-5016,French(Classic)
Buccaneer Bay Club,3300LasVegasBlvd.S.LasVegas,702-894-7350,Continental
Buzio's in the Rio,3700W.FlamingoRd.LasVegas,702-252-7697,Seafood
Chin's,3200LasVegasBlvd.S.LasVegas,702-733-8899,Chinese
Coyote Cafe (Las Vegas),3799LasVegasBlvd.S.LasVegas,702-891-7349,Southwestern
Emeril's New Orleans Fish House,3799LasVegasBlvd.S.LasVegas,702-891-7374,Seafood
Fiore Rotisserie & Grille,3700W.FlamingoRd.LasVegas,702-252-7702,Italian
Hugo's Cellar,202E.FremontSt.LasVegas,702-385-4011,Continental
Le Montrachet Bistro,3000ParadiseRd.LasVegas,702-732-5651,FrenchBistro
Madame Ching's,3300LasVegasBlvd.S.LasVegas,702-894-7111,Asian
Mayflower Cuisinier,4750W.SaharaAve.LasVegas,702-870-8432,Chinese
Michael's (Las Vegas),3595LasVegasBlvd.S.LasVegas,702-737-7111,Continental
Monte Carlo,3145LasVegasBlvd.S.LasVegas,702-733-4524,French(New)
Moongate,3400LasVegasBlvd.S.LasVegas,702-791-7352,Chinese
Morton's of Chicago (Las Vegas),3200LasVegasBlvd.S.LasVegas,702-893-0703,Steakhouses
Nicky Blair's,3925ParadiseRd.LasVegas,702-792-9900,Italian
Palace Court,3570LasVegasBlvd.S.LasVegas,702-731-7110,French(New)
Piero's Restaurant,355ConventionCenterDr.LasVegas,702-369-2305,Italian
Second Street Grill,200E.FremontSt.LasVegas,702-385-6277,PacificRim
Spago (Las Vegas),3500LasVegasBlvd.S.LasVegas,702-369-6300,Californian
Steak House The,2880LasVegasBlvd.S.LasVegas,702-734-0410,Steakhouses
Steakhouse The,128E.FremontSt.LasVegas,702-382-1600,Steakhouses
Stefano's,129FremontSt.LasVegas,702-385-7111,Italian
Sterling Brunch,3645LasVegasBlvd.S.LasVegas,702-739-4651,Eclectic
Tillerman The,2245E.FlamingoRd.LasVegas,702-731-4036,Steakhouses
Tre Visi,3799LasVegasBlvd.S.LasVegas,702-891-7331,Italian
103 West,103W.PacesFerryRd.Atlanta,404-233-5993,Continental
Abruzzi,2355PeachtreeRd.NEAtlanta,404-261-8186,Italian
Alon's at the Terrace,659PeachtreeSt.Atlanta,404-724-0444,Sandwiches
Bacchanalia,3125PiedmontRd.Atlanta,404-365-0410,Californian
Baker's Cajun Cafe,1134EuclidAve.Atlanta,404-223-5039,Cajun/Creole
Barbecue Kitchen,1437VirginiaAve.Atlanta,404-766-9906,BBQ
Bistro The,56E.AndrewsDr.NWAtlanta,404-231-5733,FrenchBistro
Bobby & June's Kountry Kitchen,37514thSt.Atlanta,404-876-3872,Southern/Soul
Bone's Restaurant,3130PiedmontRd.NEAtlanta,404-237-2663,Steakhouses
Bradshaw's Restaurant,2911S.PharrCourtAtlanta,404-261-7015,Southern/Soul
Brasserie Le Coze,3393PeachtreeRd.Atlanta,404-266-1440,FrenchBistro
Brookhaven Cafe,4274PeachtreeRd.Atlanta,404-231-5907,Vegetarian
Buckhead Diner,3073PiedmontRd.Atlanta,404-262-3336,American(New)
Cafe Sunflower,5975RoswellRd.Atlanta,404-256-1675,HealthFood
Canoe,4199PacesFerryRd.Atlanta,770-432-2663,American(New)
Carey's,1021CobbPkwy.SEMarietta,770-422-8042,Hamburgers
Carey's Corner,1215PowersFerryRd.Marietta,770-933-0909,Hamburgers
Chops,70W.PacesFerryRd.Atlanta,404-262-2675,Steakhouses
Chopstix,4279RoswellRd.Atlanta,404-255-4868,Chinese
Ciboulette Restaurant,1529PiedmontAve.Atlanta,404-874-7600,French(New)
Deacon Burton's Soulfood Restaurant,1029EdgewoodAve.SEAtlanta,404-523-1929,Southern/Soul
Delectables,1MargaretMitchellSq.Atlanta,404-681-2909,Cafeterias
Eats,600PoncedeLeonAve.Atlanta,404-888-9149,Italian
Flying Biscuit The,1655McLendonAve.Atlanta,404-687-8888,Eclectic
Frijoleros,1031PeachtreeSt.NEAtlanta,404-892-8226,Tex-Mex
Georgia Grille,2290PeachtreeRd.Atlanta,404-352-3517,Southwestern
Greenwood's,1087GreenSt.Roswell,770-992-5383,Southern/Soul
Harold's Barbecue,171McDonoughBlvd.Atlanta,404-627-9268,BBQ
Havana Sandwich Shop,2905BufordHwy.Atlanta,404-636-4094,Cuban
Hedgerose Heights Inn The,490E.PacesFerryRd.NEAtlanta,404-233-7673,Continental
Heera of India,595PiedmontAve.Atlanta,404-876-4408,Indian
House of Chan,2469CobbPkwy.Smyrna,770-955-9444,Chinese
Indian Delights,3675SatelliteBlvd.Duluth,100-813-8212,Indian
Indigo Coastal Grill,1397N.HighlandAve.Atlanta,404-876-0676,Eclectic
Java Jive,790PoncedeLeonAve.Atlanta,404-876-6161,CoffeeShops
Johnny Rockets (AT),2970CobbPkwy.Atlanta,770-955-6068,American
Kalo's Coffee House,1248ClairmontRd.Decatur,404-325-3733,Coffeehouses
La Fonda Latina,4427RoswellRd.Atlanta,404-303-8201,Spanish
La Grotta,2637PeachtreeRd.NEAtlanta,404-231-1368,Italian
Lettuce Souprise You (AT),3525MallBlvd.Duluth,770-418-9969,Cafeterias
Majestic,1031PoncedeLeonAve.Atlanta,404-875-0276,Diners
Mary Mac's Tea Room,224PoncedeLeonAve.Atlanta,404-876-1800,Southern/Soul
Morton's of Chicago (Atlanta),303PeachtreeSt.NEAtlanta,404-577-4366,Steakhouses
My Thai,1248ClairmontRd.Atlanta,404-636-4280,Thai
Nava,3060PeachtreeRd.Atlanta,404-240-1984,Southwestern
Nikolai's Roof,255CourtlandSt.Atlanta,404-221-6362,Continental
Nuevo Laredo Cantina,1495ChattahoocheeAve.NWAtlanta,404-352-9009,Mexican
Original Pancake House (AT),4330PeachtreeRd.Atlanta,404-237-4116,American
Palm The (Atlanta),3391PeachtreeRd.NEAtlanta,404-814-1955,Steakhouses
Pano's & Paul's,1232W.PacesFerryRd.Atlanta,404-261-3662,American(New)
Rainbow Restaurant,2118N.DecaturRd.Decatur,404-633-3538,Vegetarian
Ritz-Carlton Cafe (Atlanta),181PeachtreeSt.Atlanta,404-659-0400,American(New)
Ritz-Carlton Cafe (Buckhead),3434PeachtreeRd.NEAtlanta,404-237-2700,American(New)
Ritz-Carlton Dining Room (Buckhead),3434PeachtreeRd.NEAtlanta,404-237-2700,American(New)
Ritz-Carlton Restaurant,181PeachtreeSt.Atlanta,404-659-0400,French(Classic)
Riviera,519E.PacesFerryRd.Atlanta,404-262-7112,Mediterranean
Silver Skillet The,20014thSt.NWAtlanta,404-874-1388,CoffeeShops
Soto,3330PiedmontRd.Atlanta,404-233-2005,Japanese
Thelma's Kitchen,764MariettaSt.NWAtlanta,404-688-5855,Cafeterias
Tortillas,774PoncedeLeonAve.NEAtlanta,404-892-0193,Tex-Mex
Toulouse,293-BPeachtreeRd.Atlanta,404-351-9533,French(New)
Van Gogh's Restaurant & Bar,70W.CrossvilleRd.Roswell,770-993-1156,American(New)
Veggieland,220SandySpringsCircleAtlanta,404-231-3111,Vegetarian
Veni Vidi Vici,4114thSt.Atlanta,404-875-8424,Italian
White House Restaurant,3172PeachtreeRd.NEAtlanta,404-237-7601,Diners
Zab-E-Lee,4837OldNationalHwy.CollegePark,404-768-2705,Thai
Alain Rondelli,126ClementSt.SanFrancisco,415-387-0408,French(New)
Aqua,252CaliforniaSt.SanFrancisco,415-956-9662,American(New)
Bill's Place,2315ClementSt.SanFrancisco,415-221-5262,Hamburgers
Boulevard,1MissionSt.SanFrancisco,415-543-6084,American(New)
Cafe Claude,7ClaudeLn.SanFrancisco,415-392-3505,FrenchBistro
Cafe Flore,2298MarketSt.SanFrancisco,415-621-8579,Californian
Caffe Greco,423ColumbusAve.SanFrancisco,415-397-6261,Continental
Campo Santo,240ColumbusAve.SanFrancisco,415-433-9623,Mexican
Campton Place,340StocktonSt.SanFrancisco,415-955-5555,American(New)
Cha Cha Cha's,1805HaightSt.SanFrancisco,415-386-5758,Caribbean
Chez Michel,804NorthPointSt.SanFrancisco,415-775-7036,Californian
Doidge's,2217UnionSt.SanFrancisco,415-921-2149,American
Dottie's True Blue Cafe,522JonesSt.SanFrancisco,415-885-2767,Diners
Dusit Thai,3221MissionSt.SanFrancisco,415-826-4639,Thai
Ebisu,1283NinthAve.SanFrancisco,415-566-1770,Japanese
Emerald Garden Restaurant,1550CaliforniaSt.SanFrancisco,415-673-1155,Vietnamese
Eric's Chinese Restaurant,1500ChurchSt.SanFrancisco,415-282-0919,Chinese
Fleur de Lys,777SutterSt.SanFrancisco,415-673-7779,French(New)
Fringale,570FourthSt.SanFrancisco,415-543-0573,FrenchBistro
Hamburger Mary's,1582FolsomSt.SanFrancisco,415-626-1985,Hamburgers
Hawthorne Lane,22HawthorneSt.SanFrancisco,415-777-9779,Californian
Kelly's on Trinity,333BushSt.SanFrancisco,415-362-4454,Californian
Khan Toke Thai House,5937GearyBlvd.SanFrancisco,415-668-6654,Thai
La Cumbre,515ValenciaSt.SanFrancisco,415-863-8205,Mexican
La Folie,2316PolkSt.SanFrancisco,415-776-5577,French(New)
La Mediterranee,288NoeSt.SanFrancisco,415-431-7210,Mediterranean
La Taqueria,2889MissionSt.SanFrancisco,415-285-7117,Mexican
LuLu Restaurant-Bis-Cafe,816FolsomSt.SanFrancisco,415-495-5775,Mediterranean
Mario's Bohemian Cigar Store Cafe,2209PolkSt.SanFrancisco,415-776-8226,Italian
Marnee Thai,2225IrvingSt.SanFrancisco,415-665-9500,Thai
Masa's,648BushSt.SanFrancisco,415-989-7154,French(New)
Mel's Drive-In,3355GearySt.SanFrancisco,415-387-2244,Hamburgers
Mifune,1737PostSt.SanFrancisco,415-922-0337,Japanese
Mo's Burgers,1322GrantSt.SanFrancisco,415-788-3779,Hamburgers
Phnom Penh Cambodian Restaurant,631LarkinSt.SanFrancisco,415-775-5979,Cambodian
PlumpJack Cafe,3127FillmoreSt.SanFrancisco,415-563-4755,American(New)
Postrio,545PostSt.SanFrancisco,415-776-7825,Californian
Ritz-Carlton Dining Room (San Francisco),600StocktonSt.SanFrancisco,415-296-7465,French(New)
Roosevelt Tamale Parlor,281724thSt.SanFrancisco,415-550-9213,Mexican
Rose Pistola,532ColumbusAve.SanFrancisco,415-399-0499,Italian
Sally's Cafe & Bakery,300DeHaroSt.SanFrancisco,415-626-6006,American
San Francisco BBQ,132818thSt.SanFrancisco,415-431-8956,Thai
Slanted Door,584ValenciaSt.SanFrancisco,415-861-8032,Vietnamese
Swan Oyster Depot,1517PolkSt.SanFrancisco,415-673-1101,Seafood
Thep Phanom,400WallerSt.SanFrancisco,415-431-2526,Thai
Ti Couz,310816thSt.SanFrancisco,415-252-7373,French
Trio Cafe,1870FillmoreSt.SanFrancisco,415-563-2248,American
Tu Lan,8SixthSt.SanFrancisco,415-626-0927,Vietnamese
Vicolo Pizzeria,201IvySt.SanFrancisco,415-863-2382,Pizza
Wa-Ha-Ka Oaxaca Mexican Grill,2141PolkSt.SanFrancisco,415-775-1055,Mexican
Arnie Morton's of Chicago,435S.LaCienegaBlvd.LosAngeles,310/246-1501,American